Gene1,Gene2,Gene1_Description,Gene2_Description,Gene1_Pathways,Gene2_Pathways,Class,Relation
CTNNB1,LEF1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB1,LEF-1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB1,TCF10,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB1,TCF1ALPHA,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB1,TCF7L3,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB,LEF1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB,LEF-1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB,TCF10,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB,TCF1ALPHA,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
CTNNB,TCF7L3,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
EVR7,LEF1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
EVR7,LEF-1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
EVR7,TCF10,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
EVR7,TCF1ALPHA,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
EVR7,TCF7L3,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
MRD19,LEF1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
MRD19,LEF-1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
MRD19,TCF10,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
MRD19,TCF1ALPHA,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
MRD19,TCF7L3,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
NEDSDV,LEF1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
NEDSDV,LEF-1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
NEDSDV,TCF10,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
NEDSDV,TCF1ALPHA,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
NEDSDV,TCF7L3,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
ARMADILLO,LEF1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
ARMADILLO,LEF-1,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
ARMADILLO,TCF10,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
ARMADILLO,TCF1ALPHA,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
ARMADILLO,TCF7L3,catenin beta 1,transcription factor 7 like 1,Rap1 signaling pathway,Wnt signaling pathway,Colorectal_cancer,CTNNB1 -[PP -->]- LEF1
KRAS,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
KRAS,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
C-K-RAS,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
C-K-RAS,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
CFC2,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
CFC2,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS2A,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS2A,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS2B,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS2B,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS4A,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS4A,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS4B,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS4B,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS_2,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
K-RAS_2,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
KI-RAS,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
KI-RAS,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
KRAS1,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
KRAS1,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
KRAS2,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
KRAS2,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
NS,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
NS,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
NS3,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
NS3,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
OES,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
OES,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
RALD,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
RALD,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
RASK2,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
RASK2,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
C-KI-RAS,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
C-KI-RAS,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
C-KI-RAS2,P3R3URF-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
C-KI-RAS2,LOC110117498-PIK3R3,"KRAS proto-oncogene,GTPase",phosphoinositide-3-kinase regulatory subunit 3,EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,Colorectal_cancer,KRAS -[PP -->]- P3R3URF-PIK3R3
P3R3URF-PIK3R3,AKT3,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
P3R3URF-PIK3R3,MPPH,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
P3R3URF-PIK3R3,MPPH2,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
P3R3URF-PIK3R3,PKB-GAMMA,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
P3R3URF-PIK3R3,PKBG,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
P3R3URF-PIK3R3,PRKBG,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
P3R3URF-PIK3R3,RAC-PK-GAMMA,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
P3R3URF-PIK3R3,RAC-GAMMA,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
P3R3URF-PIK3R3,STK-2,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
LOC110117498-PIK3R3,AKT3,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
LOC110117498-PIK3R3,MPPH,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
LOC110117498-PIK3R3,MPPH2,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
LOC110117498-PIK3R3,PKB-GAMMA,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
LOC110117498-PIK3R3,PKBG,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
LOC110117498-PIK3R3,PRKBG,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
LOC110117498-PIK3R3,RAC-PK-GAMMA,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
LOC110117498-PIK3R3,RAC-GAMMA,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
LOC110117498-PIK3R3,STK-2,phosphoinositide-3-kinase regulatory subunit 3,AKT serine/threonine kinase 2,EGFR tyrosine kinase inhibitor resistance;Inositol phosphate metabolism,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,P3R3URF-PIK3R3 -[PP -->]- AKT3
KRAS,ARAF,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
KRAS,A-RAF,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
KRAS,ARAF1,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
KRAS,PKS2,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
KRAS,RAFA1,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
C-K-RAS,ARAF,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
C-K-RAS,A-RAF,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
C-K-RAS,ARAF1,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
C-K-RAS,PKS2,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
C-K-RAS,RAFA1,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
CFC2,ARAF,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
CFC2,A-RAF,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
CFC2,ARAF1,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
CFC2,PKS2,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
CFC2,RAFA1,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
K-RAS2A,ARAF,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
K-RAS2A,A-RAF,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
K-RAS2A,ARAF1,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
K-RAS2A,PKS2,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
K-RAS2A,RAFA1,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
K-RAS2B,ARAF,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
K-RAS2B,A-RAF,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
K-RAS2B,ARAF1,"KRAS proto-oncogene,GTPase","B-Raf proto-oncogene,serine/threonine kinase",EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,Colorectal_cancer,KRAS -[PP -->]- ARAF
